기준연도,기준분기,노선명,거리_필터,대분류,매출금액,가게수,점포당_평균매출
2019.0,2.0,하남선_2단계,2000,소매,3505211626.0,758,4624289.744063324
2019.0,3.0,경기도_대조군,Control,소매,2037810047115.0,94451,21575314.682904363
2019.0,3.0,김포골드라인,500,소매,17048210631.0,736,23163329.66168478
2019.0,3.0,김포골드라인,2000,소매,22772692199.0,1388,16406838.760086454
2019.0,3.0,안산선,500,소매,32195188350.0,1754,18355295.524515394
2019.0,3.0,안산선,2000,소매,50655894728.0,8553,5922587.949023735
2019.0,3.0,진접선,500,소매,2064533875.0,94,21963126.329787236
2019.0,3.0,진접선,2000,소매,18269306059.0,652,28020408.06595092
2019.0,3.0,하남선_1단계,500,소매,649711063.0,32,20303470.71875
2019.0,3.0,하남선_1단계,2000,소매,13922969369.0,1516,9184016.734168865
2019.0,3.0,하남선_2단계,500,소매,4495492889.0,119,37777251.168067224
2019.0,3.0,하남선_2단계,2000,소매,4390969780.0,780,5629448.435897436
2019.0,4.0,경기도_대조군,Control,소매,2091974058332.0,94451,22148776.173169155
2019.0,4.0,김포골드라인,500,소매,18224111722.0,748,24363785.72459893
2019.0,4.0,김포골드라인,2000,소매,22567479075.0,1411,15993961.073706592
2019.0,4.0,안산선,500,소매,34759021333.0,1729,20103540.389242336
2019.0,4.0,안산선,2000,소매,55151637046.0,8662,6367078.855460633
2019.0,4.0,진접선,500,소매,2002457063.0,87,23016747.850574713
2019.0,4.0,진접선,2000,소매,18354277961.0,683,26873027.761347
2019.0,4.0,하남선_1단계,500,소매,1110267437.0,30,37008914.56666667
2019.0,4.0,하남선_1단계,2000,소매,14533452242.0,1558,9328274.866495507
2019.0,4.0,하남선_2단계,500,소매,4585278184.0,120,38210651.53333333
2019.0,4.0,하남선_2단계,2000,소매,3724760704.0,769,4843642.007802341
2020.0,1.0,경기도_대조군,Control,소매,1748949232075.0,104059,16807284.637321137
2020.0,1.0,김포골드라인,500,소매,17479495094.0,677,25819047.40620384
2020.0,1.0,김포골드라인,2000,소매,17273934346.0,1453,11888461.35306263
2020.0,1.0,안산선,500,소매,29710554758.0,1475,20142748.988474578
2020.0,1.0,안산선,2000,소매,43076868897.0,7397,5823559.402054887
2020.0,1.0,진접선,500,소매,1991904616.0,91,21889061.714285713
2020.0,1.0,진접선,2000,소매,10806350953.0,864,12507350.640046297
2020.0,1.0,하남선_1단계,500,소매,934778283.0,30,31159276.1
2020.0,1.0,하남선_1단계,2000,소매,13221522325.0,1633,8096461.925903246
2020.0,1.0,하남선_2단계,500,소매,4597366599.0,139,33074579.848920863
2020.0,1.0,하남선_2단계,2000,소매,2801544269.0,659,4251205.264036419
2020.0,2.0,경기도_대조군,Control,소매,1915872402454.0,104059,18411405.09186135
2020.0,2.0,김포골드라인,500,소매,20898840745.0,678,30824248.886430677
2020.0,2.0,김포골드라인,2000,소매,20430642490.0,1501,13611354.090606263
2020.0,2.0,안산선,500,소매,32812412954.0,1521,21572921.07429323
2020.0,2.0,안산선,2000,소매,48104852992.0,7582,6344612.634133474
2020.0,2.0,진접선,500,소매,2148437931.0,91,23609208.032967035
2020.0,2.0,진접선,2000,소매,13137141500.0,886,14827473.476297969
2020.0,2.0,하남선_1단계,500,소매,1198553963.0,31,38663031.06451613
2020.0,2.0,하남선_1단계,2000,소매,14208417475.0,1415,10041284.434628975
2020.0,2.0,하남선_2단계,500,소매,5708324515.0,139,41067082.841726616
2020.0,2.0,하남선_2단계,2000,소매,3129698309.0,650,4814920.475384615
2020.0,3.0,경기도_대조군,Control,소매,1805209495299.0,104059,17347941.987708896
2020.0,3.0,김포골드라인,500,소매,19560459023.0,674,29021452.55637982
2020.0,3.0,김포골드라인,2000,소매,19380543622.0,1480,13094961.906756757
2020.0,3.0,안산선,500,소매,28952583435.0,1473,19655521.680244397
2020.0,3.0,안산선,2000,소매,44693031720.0,7625,5861381.209180328
2020.0,3.0,진접선,500,소매,1963449640.0,100,19634496.4
